random_moves,sa_moves,runtime,board,improvement
36068.0,36066.0,49.32158303260803,Board 4,2.0
15439.0,15437.0,47.26797509193421,Board 4,2.0
31431.0,31429.0,49.33589196205139,Board 4,2.0
29473.0,29471.0,47.53026390075683,Board 4,2.0
36414.0,36414.0,49.49029588699341,Board 4,0.0
24125.0,24123.0,49.90174102783203,Board 4,2.0
24740.0,24738.0,50.72368001937866,Board 4,2.0
21009.0,21009.0,48.136075019836426,Board 4,0.0
45013.0,45013.0,56.55774903297424,Board 4,0.0
16825.0,16823.0,53.583820819854736,Board 4,2.0
53198.0,53196.0,51.80233383178711,Board 4,2.0
20274.0,20272.0,45.89448595046997,Board 4,2.0
29607.0,29605.0,43.087281227111816,Board 4,2.0
22669.0,22667.0,41.705649852752686,Board 4,2.0
27977.0,27977.0,42.733453035354614,Board 4,0.0
46043.0,46043.0,45.35945200920105,Board 4,0.0
20543.0,20541.0,43.01897811889648,Board 4,2.0
49875.0,49873.0,48.10310888290405,Board 4,2.0
54601.0,50401.0,48.430262088775635,Board 4,4200.0
30172.0,30172.0,44.73064589500427,Board 4,0.0
74175.0,74173.0,46.399882555007935,Board 4,2.0
53726.0,48842.0,44.35668301582336,Board 4,4884.0
43373.0,40275.0,44.48236989974976,Board 4,3098.0
6006.0,6006.0,43.65761208534241,Board 4,0.0
19825.0,19825.0,43.8575758934021,Board 4,0.0
21135.0,21135.0,46.12561297416687,Board 4,0.0
58333.0,52500.0,44.273147106170654,Board 4,5833.0
40386.0,40384.0,42.4290566444397,Board 4,2.0
74393.0,74391.0,46.307920932769775,Board 4,2.0
85719.0,85717.0,46.455543756484985,Board 4,2.0
37614.0,37612.0,41.7046959400177,Board 4,2.0
32797.0,32795.0,40.87605881690979,Board 4,2.0
34690.0,34688.0,41.67823910713196,Board 4,2.0
23921.0,23919.0,42.55194091796875,Board 4,2.0
45492.0,45490.0,43.76605796813965,Board 4,2.0
27441.0,27439.0,41.24872899055481,Board 4,2.0
19288.0,19286.0,39.380396127700806,Board 4,2.0
12700.0,12698.0,38.65502309799194,Board 4,2.0
28682.0,28680.0,40.360909938812256,Board 4,2.0
32981.0,32979.0,40.43279790878296,Board 4,2.0
13409.0,13407.0,39.45166611671448,Board 4,2.0
22591.0,22591.0,41.586050033569336,Board 4,0.0
2716.0,2714.0,39.66509008407593,Board 4,2.0
61366.0,61364.0,42.822290897369385,Board 4,2.0
12988.0,12986.0,39.74990797042847,Board 4,2.0
17223.0,17221.0,39.77560806274414,Board 4,2.0
16577.0,16577.0,39.17027807235718,Board 4,0.0
13382.0,13380.0,39.197827100753784,Board 4,2.0
31085.0,31085.0,42.20038199424744,Board 4,0.0
25949.0,25949.0,41.20785593986511,Board 4,0.0
70188.0,70188.0,45.70855498313904,Board 4,0.0
76403.0,76403.0,44.51869893074035,Board 4,0.0
28277.0,28275.0,40.07549691200256,Board 4,2.0
61646.0,61644.0,43.083093881607056,Board 4,2.0
93203.0,93201.0,45.480913162231445,Board 4,2.0
97199.0,97197.0,45.49361515045166,Board 4,2.0
35660.0,35658.0,41.55364513397217,Board 4,2.0
31992.0,31992.0,42.276713848114014,Board 4,0.0
38195.0,38193.0,42.0080828666687,Board 4,2.0
72940.0,72940.0,43.587960958480835,Board 4,0.0
27098.0,27096.0,39.84002995491028,Board 4,2.0
43971.0,43969.0,40.56615209579468,Board 4,2.0
22434.0,20395.0,49.25674486160278,Board 5,2039.0
49554.0,49552.0,54.43720602989197,Board 5,2.0
66546.0,66544.0,61.40768790245056,Board 5,2.0
68141.0,68139.0,62.911158084869385,Board 5,2.0
48102.0,48100.0,65.32864809036255,Board 5,2.0
65009.0,65007.0,62.34707689285278,Board 5,2.0
14746.0,14744.0,59.185104846954346,Board 5,2.0
74025.0,74023.0,57.10362005233765,Board 5,2.0
17143.0,17143.0,47.5730619430542,Board 5,0.0
4485.0,4483.0,49.18091011047363,Board 5,2.0
51349.0,51349.0,59.334627866744995,Board 5,0.0
40822.0,40820.0,63.05864381790161,Board 5,2.0
35167.0,35165.0,54.14645886421203,Board 5,2.0
87181.0,87179.0,60.250787019729614,Board 5,2.0
32816.0,32814.0,53.619285106658936,Board 5,2.0
79295.0,79293.0,56.87233901023865,Board 5,2.0
56440.0,56438.0,56.77738809585571,Board 5,2.0
18548.0,18548.0,48.807713747024536,Board 5,0.0
99264.0,99264.0,59.6150438785553,Board 5,0.0
14459.0,14459.0,49.16953110694885,Board 5,0.0
8852.0,8850.0,48.66931700706482,Board 5,2.0
26994.0,26992.0,48.228689193725586,Board 5,2.0
12878.0,12876.0,48.14320421218872,Board 5,2.0
51174.0,51172.0,53.67954397201538,Board 5,2.0
7536.0,7534.0,47.98311519622803,Board 5,2.0
42090.0,42090.0,50.32048487663269,Board 5,0.0
22129.0,22127.0,51.95308804512024,Board 5,2.0
10676.0,10674.0,50.47740292549133,Board 5,2.0
,,,Board 5,
14795.0,14795.0,49.99548602104187,Board 5,0.0
,,,Board 5,
21057.0,21055.0,50.93398070335388,Board 5,2.0
81846.0,81846.0,58.62338590621948,Board 5,0.0
51561.0,51559.0,52.856452226638794,Board 5,2.0
18963.0,18963.0,49.89552688598633,Board 5,0.0
36921.0,36919.0,50.100342988967896,Board 5,2.0
78630.0,78628.0,55.27457928657532,Board 5,2.0
43415.0,43413.0,52.2739372253418,Board 5,2.0
38061.0,38059.0,51.3512749671936,Board 5,2.0
,,,Board 5,
68452.0,68450.0,54.874582052230835,Board 5,2.0
28975.0,28973.0,50.33318901062012,Board 5,2.0
56533.0,50252.0,52.079992055892944,Board 5,6281.0
47662.0,47662.0,53.76046395301819,Board 5,0.0
62738.0,62738.0,56.04010701179504,Board 5,0.0
11115.0,11113.0,50.35855531692505,Board 5,2.0
49847.0,49847.0,57.73084592819214,Board 5,0.0
31591.0,31591.0,57.99632287025452,Board 5,0.0
68704.0,68702.0,55.98109483718872,Board 5,2.0
37369.0,37369.0,49.63682723045349,Board 5,0.0
23284.0,23284.0,44.26031994819641,Board 5,0.0
78634.0,78632.0,48.24768090248108,Board 5,2.0
,,,Board 5,
19171.0,19171.0,44.501755237579346,Board 5,0.0
50807.0,50805.0,47.15351724624634,Board 5,2.0
42188.0,42186.0,46.613495111465454,Board 5,2.0
43880.0,43878.0,51.813873291015625,Board 5,2.0
50272.0,50270.0,49.01867079734802,Board 5,2.0
27797.0,27797.0,45.10249400138855,Board 5,0.0
30933.0,30933.0,44.75468707084656,Board 5,0.0
66294.0,66292.0,47.300832986831665,Board 5,2.0
6308.0,6306.0,44.631359815597534,Board 5,2.0
12463.0,12463.0,45.94955492019653,Board 5,0.0
18521.0,18519.0,47.681116819381714,Board 5,2.0
89748.0,89746.0,49.87079095840454,Board 5,2.0
75026.0,75026.0,47.178215742111206,Board 5,0.0
,,,Board 5,
15616.0,15614.0,43.29249620437622,Board 5,2.0
36003.0,36003.0,44.7490291595459,Board 5,0.0
35641.0,35639.0,43.71100330352783,Board 5,2.0
6950.0,6950.0,40.64792609214783,Board 5,0.0
1598.0,1596.0,40.936700105667114,Board 5,2.0
70600.0,70598.0,47.86214590072632,Board 5,2.0
61473.0,61471.0,46.577800989151,Board 5,2.0
35740.0,35740.0,43.4499568939209,Board 5,0.0
84619.0,84617.0,45.80530214309693,Board 5,2.0
47329.0,47329.0,42.71967792510986,Board 5,0.0
39705.0,39703.0,42.9052529335022,Board 5,2.0
40780.0,40778.0,42.69863820075989,Board 5,2.0
33325.0,33323.0,43.195754289627075,Board 5,2.0
28580.0,28578.0,43.709290981292725,Board 5,2.0
25436.0,25434.0,42.39499020576477,Board 5,2.0
47025.0,47023.0,44.06317687034607,Board 5,2.0
18453.0,18451.0,41.02828288078308,Board 5,2.0
29561.0,29561.0,42.350327014923096,Board 5,0.0
44402.0,44402.0,43.02814316749573,Board 5,0.0
15852.0,15850.0,42.292139768600464,Board 5,2.0
15683.0,15683.0,42.526817083358765,Board 5,0.0
32852.0,32850.0,44.64788484573364,Board 5,2.0
66224.0,66224.0,45.55631899833679,Board 5,0.0
4772.0,4772.0,40.11662197113037,Board 5,0.0
29256.0,29256.0,42.26411414146423,Board 5,0.0
3352.0,3350.0,40.25845503807068,Board 5,2.0
13003.0,13001.0,41.01985836029053,Board 5,2.0
8050.0,8048.0,41.087592363357544,Board 5,2.0
18312.0,18310.0,42.559898853302,Board 5,2.0
27840.0,27838.0,43.096712827682495,Board 5,2.0
61217.0,61215.0,44.32577586174011,Board 5,2.0
12230.0,12228.0,40.788068771362305,Board 5,2.0
12631.0,12629.0,40.93171405792236,Board 5,2.0
25475.0,25473.0,61.204383850097656,Board 6,2.0
55358.0,55358.0,69.59163880348206,Board 6,0.0
9015.0,9013.0,56.0319299697876,Board 6,2.0
23682.0,23680.0,57.93271088600159,Board 6,2.0
,,,Board 6,
40446.0,40444.0,58.7756552696228,Board 6,2.0
61678.0,56934.0,60.42500710487366,Board 6,4744.0
53575.0,53575.0,59.34816312789917,Board 6,0.0
63849.0,58529.0,57.94475078582764,Board 6,5320.0
7578.0,7578.0,55.309576988220215,Board 6,0.0
18001.0,17999.0,52.989290952682495,Board 6,2.0
10068.0,9062.0,51.97895002365112,Board 6,1006.0
24681.0,24681.0,51.75866389274597,Board 6,0.0
31149.0,31149.0,55.534109354019165,Board 6,0.0
14618.0,14618.0,53.09556794166565,Board 6,0.0
18955.0,18955.0,52.66013193130493,Board 6,0.0
19927.0,19925.0,54.78322720527649,Board 6,2.0
31757.0,31755.0,57.29943013191223,Board 6,2.0
5055.0,5053.0,53.53519892692566,Board 6,2.0
3533.0,3531.0,53.51178598403931,Board 6,2.0
3811.0,3809.0,55.46490025520325,Board 6,2.0
44339.0,44337.0,56.62983417510986,Board 6,2.0
82896.0,82894.0,59.95814919471741,Board 6,2.0
90555.0,90553.0,59.987637758255005,Board 6,2.0
36493.0,36493.0,55.37852215766907,Board 6,0.0
