moves,board,size
972,Board 2,6x6
1735,Board 2,6x6
475,Board 2,6x6
4399,Board 2,6x6
1282,Board 2,6x6
1521,Board 2,6x6
556,Board 2,6x6
1355,Board 2,6x6
839,Board 2,6x6
1213,Board 2,6x6
1110,Board 2,6x6
510,Board 2,6x6
327,Board 2,6x6
2396,Board 2,6x6
939,Board 2,6x6
5942,Board 2,6x6
646,Board 2,6x6
3005,Board 2,6x6
1202,Board 2,6x6
1012,Board 2,6x6
1242,Board 2,6x6
2544,Board 2,6x6
2655,Board 2,6x6
1303,Board 2,6x6
3034,Board 2,6x6
902,Board 2,6x6
817,Board 2,6x6
1532,Board 2,6x6
440,Board 2,6x6
3662,Board 2,6x6
3630,Board 2,6x6
1168,Board 2,6x6
4428,Board 2,6x6
2352,Board 2,6x6
2813,Board 2,6x6
7429,Board 2,6x6
1663,Board 2,6x6
2324,Board 2,6x6
3998,Board 2,6x6
2459,Board 2,6x6
3328,Board 2,6x6
817,Board 2,6x6
1601,Board 2,6x6
470,Board 2,6x6
186,Board 2,6x6
998,Board 2,6x6
4436,Board 2,6x6
2351,Board 2,6x6
73627,Board 3,6x6
100000,Board 3,6x6
48716,Board 3,6x6
19354,Board 3,6x6
100000,Board 3,6x6
43236,Board 3,6x6
16686,Board 3,6x6
20363,Board 3,6x6
37201,Board 3,6x6
6879,Board 3,6x6
21989,Board 3,6x6
100000,Board 3,6x6
6209,Board 3,6x6
8317,Board 3,6x6
18589,Board 3,6x6
27145,Board 3,6x6
71512,Board 3,6x6
18387,Board 3,6x6
61824,Board 3,6x6
15992,Board 3,6x6
14525,Board 3,6x6
44678,Board 3,6x6
32977,Board 3,6x6
22162,Board 3,6x6
33446,Board 3,6x6
7709,Board 3,6x6
98073,Board 3,6x6
53130,Board 3,6x6
48409,Board 3,6x6
14160,Board 3,6x6
29223,Board 3,6x6
4475,Board 3,6x6
24272,Board 3,6x6
11680,Board 3,6x6
18109,Board 3,6x6
51146,Board 3,6x6
10686,Board 3,6x6
12999,Board 3,6x6
71880,Board 3,6x6
100000,Board 3,6x6
54887,Board 3,6x6
33039,Board 3,6x6
28363,Board 3,6x6
49727,Board 3,6x6
16501,Board 3,6x6
39908,Board 3,6x6
20517,Board 3,6x6
97186,Board 3,6x6
17509,Board 3,6x6
100000,Board 3,6x6
16569,Board 3,6x6
3163,Board 3,6x6
26266,Board 3,6x6
30061,Board 3,6x6
16516,Board 3,6x6
29952,Board 3,6x6
11440,Board 3,6x6
23180,Board 3,6x6
8546,Board 3,6x6
51300,Board 3,6x6
3396,Board 3,6x6
71166,Board 3,6x6
38348,Board 3,6x6
2056,Board 3,6x6
17979,Board 3,6x6
11344,Board 3,6x6
10517,Board 3,6x6
27957,Board 3,6x6
74615,Board 3,6x6
59458,Board 3,6x6
36961,Board 3,6x6
46008,Board 3,6x6
43285,Board 3,6x6
7704,Board 3,6x6
21139,Board 3,6x6
100000,Board 3,6x6
16806,Board 3,6x6
39290,Board 3,6x6
27915,Board 3,6x6
90642,Board 3,6x6
8276,Board 3,6x6
6794,Board 3,6x6
9472,Board 3,6x6
8873,Board 3,6x6
25597,Board 3,6x6
5903,Board 3,6x6
31327,Board 3,6x6
17780,Board 3,6x6
74098,Board 3,6x6
20229,Board 3,6x6
5378,Board 3,6x6
28818,Board 3,6x6
17057,Board 3,6x6
54573,Board 3,6x6
15115,Board 3,6x6
27088,Board 3,6x6
17238,Board 3,6x6
23163,Board 3,6x6
41479,Board 3,6x6
5141,Board 3,6x6
39164,Board 4,9x9
22197,Board 4,9x9
85136,Board 4,9x9
82098,Board 4,9x9
18279,Board 4,9x9
37749,Board 4,9x9
30256,Board 4,9x9
21548,Board 4,9x9
48657,Board 4,9x9
35385,Board 4,9x9
12102,Board 4,9x9
27722,Board 4,9x9
29891,Board 4,9x9
63231,Board 4,9x9
111304,Board 4,9x9
63449,Board 4,9x9
92130,Board 4,9x9
21615,Board 4,9x9
14288,Board 4,9x9
31372,Board 4,9x9
39302,Board 4,9x9
