random_moves,hillclimber_moves,improvement,board,size
89277,89113,164,Board 6,9x9
10567,10380,187,Board 6,9x9
50905,50720,185,Board 6,9x9
6932,6756,176,Board 6,9x9
17931,17780,151,Board 6,9x9
17151,16986,165,Board 6,9x9
15371,15208,163,Board 6,9x9
14115,14100,15,Board 6,9x9
50761,50761,0,Board 6,9x9
19083,18928,155,Board 6,9x9
13629,13468,161,Board 6,9x9
64660,64498,162,Board 6,9x9
18856,18707,149,Board 6,9x9
16749,16587,162,Board 6,9x9
82440,82265,175,Board 6,9x9
3949,3792,157,Board 6,9x9
47369,47192,177,Board 6,9x9
29462,29412,50,Board 6,9x9
9765,9601,164,Board 6,9x9
49213,49052,161,Board 6,9x9
20540,20377,163,Board 6,9x9
85350,85206,144,Board 6,9x9
32269,32115,154,Board 6,9x9
36853,36695,158,Board 6,9x9
51671,51510,161,Board 6,9x9
51123,50955,168,Board 6,9x9
61158,60990,168,Board 6,9x9
9696,9524,172,Board 6,9x9
67938,67763,175,Board 6,9x9
11516,11360,156,Board 6,9x9
37835,37671,164,Board 6,9x9
29154,28986,168,Board 6,9x9
36861,36675,186,Board 6,9x9
21761,21589,172,Board 6,9x9
25104,24928,176,Board 6,9x9
17078,16911,167,Board 6,9x9
26650,26472,178,Board 6,9x9
1924,1755,169,Board 6,9x9
42153,42141,12,Board 6,9x9
31164,30987,177,Board 6,9x9
5813,5664,149,Board 6,9x9
30281,30097,184,Board 6,9x9
68909,68738,171,Board 6,9x9
13878,13694,184,Board 6,9x9
16050,15900,150,Board 6,9x9
42883,42712,171,Board 6,9x9
13801,13638,163,Board 6,9x9
37449,37292,157,Board 6,9x9
26786,26607,179,Board 6,9x9
13827,13667,160,Board 6,9x9
72348,72190,158,Board 6,9x9
29230,29044,186,Board 6,9x9
22880,22725,155,Board 6,9x9
10353,10172,181,Board 6,9x9
10259,10096,163,Board 6,9x9
12619,12450,169,Board 6,9x9
46699,46552,147,Board 6,9x9
11286,11113,173,Board 6,9x9
14246,14089,157,Board 6,9x9
33204,33042,162,Board 6,9x9
36796,36635,161,Board 6,9x9
4230,4062,168,Board 6,9x9
1749,1595,154,Board 6,9x9
18259,18079,180,Board 6,9x9
13014,13014,0,Board 6,9x9
17259,17182,77,Board 6,9x9
18057,17885,172,Board 6,9x9
14159,13998,161,Board 6,9x9
58734,58570,164,Board 6,9x9
22414,22256,158,Board 6,9x9
90729,90729,0,Board 6,9x9
11939,11782,157,Board 6,9x9
81420,81259,161,Board 6,9x9
48442,48249,193,Board 6,9x9
25384,25214,170,Board 6,9x9
20457,20296,161,Board 6,9x9
22689,22508,181,Board 6,9x9
31161,31066,95,Board 6,9x9
11241,11081,160,Board 6,9x9
33511,33353,158,Board 6,9x9
2387,2216,171,Board 6,9x9
12205,12051,154,Board 6,9x9
41640,41466,174,Board 7,12x12
66871,66697,174,Board 7,12x12
61191,61015,176,Board 7,12x12
21293,21127,166,Board 7,12x12
70425,70266,159,Board 7,12x12
67551,67387,164,Board 7,12x12
27369,27204,165,Board 7,12x12
58014,57836,178,Board 7,12x12
90259,90102,157,Board 7,12x12
96208,96041,167,Board 7,12x12
20366,20192,174,Board 7,12x12
78155,77985,170,Board 7,12x12
20908,20746,162,Board 7,12x12
68169,67987,182,Board 7,12x12
62887,62739,148,Board 7,12x12
34366,34204,162,Board 7,12x12
50097,50031,66,Board 7,12x12
11482,11482,0,Board 7,12x12
65666,65496,170,Board 7,12x12
10323,10156,167,Board 7,12x12
81023,80859,164,Board 7,12x12
42156,41967,189,Board 7,12x12
38475,38300,175,Board 7,12x12
38351,38168,183,Board 7,12x12
22999,22846,153,Board 7,12x12
49571,49403,168,Board 7,12x12
59837,59824,13,Board 7,12x12
79359,79206,153,Board 7,12x12
72814,72651,163,Board 7,12x12
86685,86501,184,Board 7,12x12
89462,89296,166,Board 7,12x12
10372,10212,160,Board 7,12x12
48919,48763,156,Board 7,12x12
39113,38938,175,Board 7,12x12
78563,78403,160,Board 7,12x12
37355,37180,175,Board 7,12x12
12117,11967,150,Board 7,12x12
70629,70479,150,Board 7,12x12
81639,81481,158,Board 7,12x12
99597,99449,148,Board 7,12x12
94332,94168,164,Board 7,12x12
47593,47470,123,Board 7,12x12
67919,67758,161,Board 7,12x12
33439,33387,52,Board 7,12x12
81081,80914,167,Board 7,12x12
15484,15345,139,Board 7,12x12
68042,67881,161,Board 7,12x12
47600,47425,175,Board 7,12x12
70975,70819,156,Board 7,12x12
83654,83491,163,Board 7,12x12
36367,36197,170,Board 7,12x12
9850,9686,164,Board 7,12x12
13268,13093,175,Board 7,12x12
55421,55260,161,Board 7,12x12
31277,31087,190,Board 7,12x12
70807,70617,190,Board 7,12x12
28527,28366,161,Board 7,12x12
75508,75334,174,Board 7,12x12
75448,75286,162,Board 7,12x12
60565,60400,165,Board 7,12x12
34462,34281,181,Board 7,12x12
34920,34756,164,Board 7,12x12
35432,35277,155,Board 7,12x12
37406,37231,175,Board 7,12x12
97654,97501,153,Board 7,12x12
77927,77927,0,Board 7,12x12
50052,49883,169,Board 7,12x12
21033,20870,163,Board 7,12x12
36118,35948,170,Board 7,12x12
47806,47656,150,Board 7,12x12
79373,79192,181,Board 7,12x12
56571,56403,168,Board 7,12x12
39266,39087,179,Board 7,12x12
58442,58271,171,Board 7,12x12
81921,81759,162,Board 7,12x12
90668,90505,163,Board 7,12x12
31081,30936,145,Board 7,12x12
32619,32458,161,Board 7,12x12
66729,66547,182,Board 7,12x12
43929,43929,0,Board 5,9x9
25792,25641,151,Board 5,9x9
16829,16666,163,Board 5,9x9
