random_moves,optimized_hillclimber_moves,runtime,improvement,board,size,iterations
10907,10573,0.3056898117065429,334,Board 1,6x6,500
2493,2147,0.0753381252288818,346,Board 1,6x6,500
19330,18994,0.5342509746551514,336,Board 1,6x6,500
1295,987,0.0412380695343017,308,Board 1,6x6,500
18825,18517,0.5220351219177246,308,Board 1,6x6,500
13731,13363,0.3850302696228027,368,Board 1,6x6,500
21782,21456,0.6040089130401611,326,Board 1,6x6,500
2076,1754,0.0625221729278564,322,Board 1,6x6,500
5976,5612,0.1703429222106933,364,Board 1,6x6,500
10793,10465,0.3032870292663574,328,Board 1,6x6,500
27642,27340,0.7673547267913818,302,Board 1,6x6,500
1323,975,0.0411012172698974,348,Board 1,6x6,500
7147,6871,0.2002160549163818,276,Board 1,6x6,500
5677,5361,0.160715103149414,316,Board 1,6x6,500
1463,1125,0.0463809967041015,338,Board 1,6x6,500
24858,24518,0.6868579387664795,340,Board 1,6x6,500
20465,20129,0.5730748176574707,336,Board 1,6x6,500
15057,14707,0.4217920303344726,350,Board 1,6x6,500
13059,12745,0.3641011714935303,314,Board 1,6x6,500
19309,18971,0.5354223251342773,338,Board 1,6x6,500
19491,19163,0.5389580726623535,328,Board 1,6x6,500
3105,2783,0.0911910533905029,322,Board 1,6x6,500
2247,1851,0.068387746810913,396,Board 1,6x6,500
42219,41869,1.1624870300292969,350,Board 1,6x6,500
17833,17513,0.5044379234313965,320,Board 1,6x6,500
8027,7647,0.2289590835571289,380,Board 1,6x6,500
23496,23140,0.6559011936187744,356,Board 1,6x6,500
2331,1969,0.0715909004211425,362,Board 1,6x6,500
7639,7303,0.2169220447540283,336,Board 1,6x6,500
6048,5750,0.1705751419067382,298,Board 1,6x6,500
23614,23272,0.657742977142334,342,Board 1,6x6,500
2184,1858,0.0655291080474853,326,Board 1,6x6,500
10905,10601,0.3040401935577392,304,Board 1,6x6,500
16218,15862,0.4515581130981445,356,Board 1,6x6,500
6359,6047,0.1791679859161377,312,Board 1,6x6,500
16181,15813,0.4508979320526123,368,Board 1,6x6,500
14551,14257,0.4012651443481445,294,Board 1,6x6,500
21338,21012,0.6071822643280029,326,Board 1,6x6,500
14899,14585,0.4129579067230224,314,Board 1,6x6,500
9409,9083,0.2634129524230957,326,Board 1,6x6,500
8171,7867,0.2281868457794189,304,Board 1,6x6,500
9755,9423,0.2707960605621338,332,Board 1,6x6,500
8465,8135,0.2367072105407714,330,Board 1,6x6,500
4135,3793,0.1188368797302246,342,Board 1,6x6,500
14548,14208,0.4050929546356201,340,Board 1,6x6,500
10291,10031,0.2842981815338135,260,Board 1,6x6,500
2483,2147,0.0735809803009033,336,Board 1,6x6,500
10700,10370,0.2991430759429931,330,Board 1,6x6,500
9372,9012,0.2637219429016113,360,Board 1,6x6,500
22022,21714,0.6069610118865967,308,Board 1,6x6,500
20724,20400,0.5756831169128418,324,Board 1,6x6,500
55150,54834,1.520923137664795,316,Board 1,6x6,500
7095,6739,0.2049829959869384,356,Board 1,6x6,500
5077,4743,0.146158218383789,334,Board 1,6x6,500
5037,4729,0.1428017616271972,308,Board 1,6x6,500
18420,18104,0.5085461139678955,316,Board 1,6x6,500
1629,1309,0.050832986831665,320,Board 1,6x6,500
50690,50384,1.3888700008392334,306,Board 1,6x6,500
841,509,0.0314249992370605,332,Board 1,6x6,500
7819,7465,0.2213990688323974,354,Board 1,6x6,500
3428,3102,0.0995929241180419,326,Board 1,6x6,500
2749,2377,0.0821120738983154,372,Board 1,6x6,500
1390,1072,0.0435459613800048,318,Board 1,6x6,500
47025,46681,1.2944660186767578,344,Board 1,6x6,500
4992,4664,0.14540696144104,328,Board 1,6x6,500
9521,9189,0.2679481506347656,332,Board 1,6x6,500
5783,5459,0.1638219356536865,324,Board 1,6x6,500
19232,18874,0.4611871242523193,358,Board 3,6x6,500
22115,21785,0.5201590061187744,330,Board 3,6x6,500
